story_id,images,text
267,"['https://static2.tinkoff.ru/portfolio/stories/images/61_5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/61_1.png', 'https://static2.tinkoff.ru/portfolio/stories/images/61_cover.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/61_4.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/61_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/61_3.jpg']","Спорный вопрос. Техника с высоким классом энергоэффективности стоит значительно дороже, чем похожие модели с классом энергопотребления B. Экономия в счете за электричество будет незначительной – не более 1500 ₽ в год. Датчики включения/выключения Как не надо экономить 1. Выключать бытовую технику из розетки, когда она не нужна.\n2. Заменить обычные лампочки на энергосберегающие.\n3. Установить многотарифные счетчики электроэнергии. ЖИЗНЬ Экономить нужно с умом! Замена проводки Умный дом Правильная экономия Больше полезных советов Система, которая будет управлять уровнем освещенности и контролировать потребление энергии – безусловно, полезное приобретение. Но лишь в том случае, если у Вас есть лишние деньги. Ее установка обойдется в круглую сумму и окупится лишь спустя годы. В квартире, где постоянно кто-то перемещается из комнаты в комнату и никто не страдает потерей памяти, датчики движения не имеют смысла. Если Вы забудете выключить лампочку на ночь, то переплатите всего 4 ₽. Установив датчик, Вы не переплатите, но и не приобретете. Как не надо экономить на электричестве Раньше во всех домах делали проводку из алюминия. Теперь же используют медь. Она характеризуется меньшей потерей энергии. Экономия составит около 1000 ₽ в год. НО! Замена проводки во всей квартире обойдется почти в 100 000 ₽. Как-то не очень экономно выходит. Бытовая техника класса А, А+"
306,"['https://static2.tinkoff.ru/portfolio/stories/images/0-grace-joint.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/grace-period-2-iphone.png', 'https://static2.tinkoff.ru/portfolio/stories/images/grace-period-3-iphone.png', 'https://static2.tinkoff.ru/portfolio/stories/images/grace-period-1-iphone.png', 'https://static2.tinkoff.ru/portfolio/stories/images/4-grace-joint.jpg']",Банк не успеет начислить проценты за эти покупки Платите картой Оплачивайте покупки кредитной картой. Главное — не снимайте наличные и не переводите деньги с кредитки Внесите на карту всю сумму долга до указанной даты — обычно в течение 25 дней после выписки  Погасите долг Банк укажет в ней сумму задолженности за последний месяц Покупки без процентов Как не платить проценты по кредитной карте Как это работает Получите выписку
279,"['https://static2.tinkoff.ru/portfolio/stories/images/154_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/154a_cover.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/154_5.jpeg', 'https://static2.tinkoff.ru/portfolio/stories/images/154_3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/154_4.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/154_2.jpg']","Автобиографический детектив Роберта Грейсмита о попытках расшифровать послания неуловимого убийцы по прозвищу Зодиак. Перед тем как снять одноименную экранизацию, режиссер Дэвид Финчер 18 месяцев вел собственное расследование — и тоже ничего не понял (дело Зодиака не закрыто по сей день). Прежде чем я упаду Зодиак Книга или фильм? Заказать книгу Детектив по мотивам истории Фрэнка Абигнейла — неуловимого мошенника, который выдавал себя за пилота, профессора, врача, адвоката и агента ФБР. В одноименном фильме его роль исполнил Леонардо Ди Каприо (и получил за это «Золотой глобус»).  История Джона Нэша, математика и экономиста, которому диагностировали шизофрению. Это не помешало ему добиться ученой степени и Нобелевской премии по экономике. Одноименный фильм с Расселом Кроу в главной роли получил четыре «Оскара». Подростковый бестселлер о девушке, которая попала во временную петлю и пытается из нее выбраться (прямо как Билл Мюррей в «Дне сурка»). В прошлом году по книге сняли фильм «Матрица времени» с Зои Дойч в главной роли.  Поймай меня, если сможешь Почти юмористический рассказ Фрэнсиса Скотта Фицжеральда обрел славу спустя 80 лет, благодаря экранизации все того же Дэвида Финчера. На самом деле, Финчер оставил от книги только название, имя героя и саму идею обратного старения. Результат — три «Оскара».  Книги, по которым сняли фильмы РАЗВЛЕЧЕНИЯ Игры разума Загадочная история Бенджамина Баттона Почитать, потом посмотреть. Или наоборот."
320,"['https://static2.tinkoff.ru/portfolio/stories/images/371_51.png', 'https://static2.tinkoff.ru/portfolio/stories/images/371_31.png', 'https://static2.tinkoff.ru/portfolio/stories/images/371_21.png', 'https://static2.tinkoff.ru/portfolio/stories/images/371_cover.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/371_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/371_41.png', 'https://static2.tinkoff.ru/portfolio/stories/images/371_11.png']","Прямо в мобильном банке Нажмите «Узнать ИНН» Перейдите в раздел «Федеральная Налоговая Служба» Отсканируйте паспорт или введите данные вручную и нажмите «Узнать ИНН» Узнать ИНН На экране появится ваш ИНН. Вы знаете, что с ним делать. Номер ИНН понадобится при устройстве на работу, оплате налогов или оформлении заказа в зарубежном интернет-магазине Узнать свой ИНН Перейдите на вкладку «Оплатить», в разделе «Платежи» выберите «Госуслуги» Как узнать свой ИНН"
286,"['https://static2.tinkoff.ru/portfolio/stories/images/348_4a.png', 'https://static2.tinkoff.ru/portfolio/stories/images/348_cover.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/348_5a.png', 'https://static2.tinkoff.ru/portfolio/stories/images/348_2a.png', 'https://static2.tinkoff.ru/portfolio/stories/images/348_6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/348_3a.png']","Выберите дату и время посещения, количество гостей и нажмите «Забронировать». Приходите в назначенное время — столик будет вас ждать. Бронь ресторанов Зайдите на вкладку «Оплатить», в разделе «Платежи» найдите виджет «Рестораны». Как забронировать столик в ресторане Выберите город и заведение из списка. Если вы заранее решили, куда пойти, введите название заведения в строку поиска. Выбрать ресторан"
410,"['https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_3.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_2.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_4.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_7.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_5.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_1.png', 'https://static2.tinkoff.ru/portfolio/stories/images/vklad_ili_schet_8.png']","При досрочном закрытии вклада вы теряете накопленные проценты. Накопительный счет можно закрывать в любой момент без потери процентов. Пополнить вклад и накопительный счет можно с дебетовой карты, наличными у партнеров и в банкоматах Тинькофф, а еще банковским переводом.  Годовой доход по вкладу зафиксирован на весь срок его действия. Но ставку можно повысить при открытии вклада. Ставка для накопительного счета не зависит от срока действия, но банк вправе ее снизить. А что есть общего? Счет или вклад? Годовым доходом Чем накопительный счет отличается от вклада Что выберете? Счет Что же выбрать? Сроком накопления Условиями закрытия Вклад можно открывать на срок от 3 месяцев до 2 лет и продлевать автоматически. Срок действия накопительного счета не ограничен и закрыть его можно в любой момент. Открыть накопительный счет Количеством денег на старте Вклад Открыть вклад Вклад выгоден, когда деньги на нем лежат долго и регулярно пополняются. Если планируете на отпуск или держите заначку на черный день — вам подойдет накопительный счет. Для того, чтобы открыть вклад, нужно сразу 50 000 ₽, 1000 $ или 1000 €. А чтобы открыть накопительный счет, хватит любой суммы."
371,"['https://static2.tinkoff.ru/portfolio/stories/images/kids_card_4.png', 'https://static2.tinkoff.ru/portfolio/stories/images/kids_card1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/kids_card_3.png', 'https://static2.tinkoff.ru/portfolio/stories/images/kids_card_2.png', 'https://static2.tinkoff.ru/portfolio/stories/images/kids_card2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/kids_card_1.png']","Обсудите с ребенком его расходы и установите месячный лимит. Тогда ребенок не потратит больше положенного. Когда завести ребенку банковскую карту? Завести карту стоит тогда, когда у ребенка появятся самостоятельные траты На детей младше 14 лет можно оформить дополнительную карту и привязать ее к своему счету. Как только ребенок привыкнет распределять деньги на всю неделю, предложите ему откладывать часть денег на крупную покупку. Детская карта ДЕТИ Контролируйте расходы, чтобы знать о тратах ребенка и участвовать в достижении поставленных им целей."
363,"['https://static2.tinkoff.ru/portfolio/stories/images/multicurr_4_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicurr_6_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_7_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_5_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_8_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_3_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_2_ios.png', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_1mini.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/multicur_1.jpg']","На главном экране нажмите баннер «Сделать карты мультивалютными». Мультивалютная карта Чтобы сделать свою рублевую карту долларовой, на главном экране приложения перетащите ее на счет в USD. Нажмите галочку и дождитесь сообщения о том, что карта сменила валюту. Карта с 4 валютами Если хотите добавить новую валюту, отметьте ее в настройках счета. Обслуживание счетов в долларах, евро и фунтах стерлингов — бесплатное. Теперь все ваши карты Tinkoff Black — мультивалютные. Для любой из них можно на время назначить одну из доступных вам валют. Как сделать\nвашу карту мультивалютной ПРИЛОЖЕНИЕ Теперь валюта карты — доллары США. Вы можете без конвертации расплачиваться ею за границей, а потом снова сделать ее рублевой. Введите одноразовый код для подтверждения."
477,"['https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_1.png', 'https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_8.png', 'https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_2.png', 'https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_3.png', 'https://static2.tinkoff.ru/portfolio/stories/images/popolni-kartu-kak-ugodno.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_6.png', 'https://static2.tinkoff.ru/portfolio/stories/images/popolnit_kartu_4.png']","Выберите удобный способ пополнения карты: с карты на карту, наличными или переводом на счет Выберите карту, которую хотите пополнить, на главной странице в приложении  Зайдите в раздел «Пополнить» Наличными Найдите на карте города ближайший банкомат или удобную точку пополнения у партнеров. С карты на карту Выберите привязанную карту или введите номер новой, укажите сумму. Деньги придут мгновенно. На счет Как пополнить карту Оформите перевод по реквизитам. Деньги поступят на счет в течение 1–2 дней."
534,"['https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_7.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_zahod.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_4.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zhileti_23-03_5.jpg']","2. Водитель из нее вышел С 18 марта 2018 года водителям нужны светоотражающие жилеты 3. На улице темно или туман Если вы не выезжаете за пределы города, не выходите из машины или на улице светло — можно ездить без жилета. Возить его с собой просто так вы не обязаны Поправки в ПДД 1. Машина вынужденно остановилась на дороге за городом Жилет нужен не всегда, а только при совпадении трех условий Жилет должен быть сделан по ГОСТу. Лучше купить его в магазине спецодежды, а не на китайском сайте Штрафов за нарушение этого пункта ПДД пока нет, но это вопрос вашей безопасности"
1365,"['https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_7.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/Yamusic020818_4.jpg']","Англо-норвежский диджей Алан Уокер — большой фанат «Интерстеллар», «Трансформеров» и «Звездных войн» — создал собственную вселенную World of Walker — так называется трилогия синглов. Выход каждого сопровождается клипом, действие которого происходит в фантастическом мире.  I Don't Dance (Without You) Darkside Громкие новинки для летней вечеринки На заре своей карьеры норвежец Matoma записал ремикс на знаменитую балладу Энрике Иглесиаса «Bailando». Сейчас северный диджей и латиноамериканская поп-звезда сошлись, чтобы вместе создать тропический танцевальный микс.  Diplo, YUKO, MØ The Chainsmokers feat. Emily Warren Трек «Don’t Leave Me Alone» пополнил список летних работ знаменитого диджея — вслед за дуэтом c Showtek и акустической версией хита «Flames» при участии Сии. На этот раз вокал взяла на себя британская певица Энн-Мари. Don't Leave Me Alone Stay Open Parov Stelar — одна из самых известных австрийских групп, которая исполняет электронную танцевальную музыку с элементами джаза и свинга. В новом треке к этим стилям добавился еще и хип-хоп — смесь получилась по-настоящему зажигательной! Дуэт The Chainsmokers входит в первую тройку самых высокооплачиваемых диджеев мира. В последнее время они медленно, но верно отходят от EDM в сторону более мягкого поп-звучания. «Side Effects» — очередная танцевальная бомба, которую диджеи создали в соавторстве с певицей Эмили Уоррен. Parov Stelar На этой неделе «Яндекс.Музыка» выбрала 6 свежих танцевальных треков от всемирно известных диджеев Mambo Rap Alan Walker  Side Effects Американский диджей Diplo, датская певица MØ и украинский дуэт YUKO доказывают, что у музыки нет границ в своей новой совместной работе на нескольких языках. David Guetta feat. Anne-Marie Слушать Matoma & Enrique Iglesias Танцы до утра"
677,"['https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_1.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_4.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_5.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_8.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_6.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_3.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_zahod.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_2.jpg', 'https://static2.tinkoff.ru/portfolio/stories/images/zp_17-04_7.jpg']","Повысьте квалификацию Читать Для этого нужно регулярно мониторить вакансии, хорошо знать рынок, развиваться на текущей работе и поменьше спать. После формальной процедуры аттестации с последующим получением новой категории принято просить прибавку к зарплате. Для этого нужны две вещи: соответствовать требованиям работодателя и не бояться проявить инициативу. Как поднять себе зарплату Работодатели ценят, когда сотрудник готов взять на себя ответственность и способен управлять целой командой. Для этого принимайте больше самостоятельных решений и постарайтесь разгрузить руководство, чтобы освободить его время для задач более высокого уровня. Организуйте обучение коллег Возьмите ответственность за новый проект Создайте дочернюю структуру и выведите ее на окупаемость Найдите потребность компании в обучении сотрудников и систематизируйте свои знания, чтобы поделиться ими с коллегами. Работодатель это оценит. Можно увеличить свою менеджерскую нагрузку. Помогите руководству понять, куда уходят деньги компании, и найдите способ сделать рабочие процессы чуть лучше. Так вы покажете свою пользу для компании. Чтобы у вас всё получилось, вам нужно будет хорошо разобраться в расходах компании, а затем предложить решение, которое поможет их сократить. Придется впрячься и рисковать, но если взвалить на себя риски и заботы руководства, можно рассчитывать на участие в прибыли. Личный опыт и случаи из практики эйчаров Что делать, чтобы росла зарплата Начните экономить деньги компании, не ухудшив результат Возьмите сверхурочную работу Перейдите на новое место с большей зарплатой, с повышением в должности или с перспективой быстро вырасти Зарплата сама себя не поднимет. Почитайте о том, как помочь ей в этом."
